"iso3","year","df_ha","gdp_perc","food_exports","exports_gdp","food_infl","pop_growth","gdp_growth","foreing_invest","tmp_change"
"CMR",2017,43143.8,3665.12,21.9367,18.3511,0.0374,2.63775,3.54118,810000000,1.101
"CMR",2016,25187.5,3634.38,45.122,18.95,1.08756,2.6605,4.53579,660000000,1.17
"CMR",2013,16068.8,3372.9,16.573,23.6391,3.23962,2.71825,4.99553,550000000,0.775
"CMR",2011,30631.3,3242.35,40.0823,24.2297,1.69124,2.74048,3.37921,650000000,0.72
"CMR",2012,39500,3300.95,17.1345,23.8767,3.19889,2.73125,4.62598,530000000,0.56
"CMR",2010,39700,3223.51,24.4311,22.3689,1.72033,2.74773,2.89902,540000000,1.251
"CMR",2004,107188,3160.89,18.762,20.5476,-1.37371,2.69218,7.04886,68000000,0.907
"CMR",2014,13581.3,3470.79,17.4843,23.61,0.781007,2.70152,5.71982,730000000,0.885
"CMR",2008,25056.3,3226.6,32.2855,27.0084,5.44785,2.75083,2.84768,21000000,0.712
"CMR",2007,87050,3224.76,11.5442,26.9786,3.62968,2.74199,4.32759,190000000,0.746
